Workers,TraceId,BatchId,EventCount_x,Trace point start,Trace point stop,Batch Duration,Avg_Event_Duration
1,2e4a842c-d384-4117-a615-f287011888e9,46a5ddfb-9d8d-4dfc-a795-39a2c4cf018d,2000,1754067382458,1754067385202,2744,1.372
1,2e4a842c-d384-4117-a615-f287011888e9,5715298a-81f7-49e9-a92d-50a7b40b7d1d,2000,1754067396829,1754067399679,2850,1.425
1,2e4a842c-d384-4117-a615-f287011888e9,5af25bee-26ca-4c6f-b44e-7041678d59b3,2000,1754067386532,1754067389186,2654,1.327
1,2e4a842c-d384-4117-a615-f287011888e9,5e6f8966-56c4-4ef3-b09b-e0a4aa90cc14,2000,1754067346277,1754067348941,2664,1.332
1,2e4a842c-d384-4117-a615-f287011888e9,5f0f73c6-48b0-4a9c-92bb-766f8512091f,2000,1754067372138,1754067374699,2561,1.2805
1,2e4a842c-d384-4117-a615-f287011888e9,62ed9b94-129b-4f66-ace3-cb74af87a119,600,1754067333748,1754067334566,818,1.3633333333333333
1,2e4a842c-d384-4117-a615-f287011888e9,6d5b9539-b0e4-4ad6-9acf-017768800657,2000,1754067323156,1754067325876,2720,1.36
1,2e4a842c-d384-4117-a615-f287011888e9,71ba502b-c417-4205-8d15-1666f99255aa,600,1754067363668,1754067364470,802,1.3366666666666667
1,2e4a842c-d384-4117-a615-f287011888e9,7fb20b0d-2592-42c0-9d83-444215e245b4,2000,1754067379409,1754067382176,2767,1.3835
1,2e4a842c-d384-4117-a615-f287011888e9,82f86b79-aa6c-40d8-8ec8-14898a32e5cc,2000,1754067335587,1754067338423,2836,1.418
1,2e4a842c-d384-4117-a615-f287011888e9,8592ae12-dbbf-424e-ba5f-08d254896106,600,1754067377723,1754067378497,774,1.29
1,2e4a842c-d384-4117-a615-f287011888e9,9088a1bc-b6ab-4bf5-858b-7f235c9157bc,2000,1754067357811,1754067360584,2773,1.3865
1,2e4a842c-d384-4117-a615-f287011888e9,a9f070c6-27c8-422d-b8ec-6a81daa1bb77,2000,1754067374975,1754067377561,2586,1.293
1,2e4a842c-d384-4117-a615-f287011888e9,b09d1b84-b341-4ca9-80c3-b8f12e5cb25a,2000,1754067330618,1754067333565,2947,1.4735
1,2e4a842c-d384-4117-a615-f287011888e9,baf5bc70-59a8-4ef4-858a-540cc888ed61,2000,1754067368126,1754067370781,2655,1.3275
1,2e4a842c-d384-4117-a615-f287011888e9,cc5fe61c-9cc5-480c-9bca-47939370cac5,2000,1754067320088,1754067322865,2777,1.3885
1,2e4a842c-d384-4117-a615-f287011888e9,cd9d7b98-f936-4222-b459-2208043c6b9d,2000,1754067350568,1754067353205,2637,1.3185
1,2e4a842c-d384-4117-a615-f287011888e9,d2de5c30-35cc-4d76-b0ee-efee88215577,2000,1754067353478,1754067356075,2597,1.2985
1,2e4a842c-d384-4117-a615-f287011888e9,da02f352-2c1e-46d1-a9df-07cb248eb68c,600,1754067370957,1754067371758,801,1.335
1,2e4a842c-d384-4117-a615-f287011888e9,e37c0bc0-1b5d-43c8-b283-333c00ae2691,600,1754067356232,1754067357028,796,1.3266666666666667
1,2e4a842c-d384-4117-a615-f287011888e9,e922fa25-b7b6-4d8c-ab1f-6fe19e56ae3f,600,1754067341607,1754067342418,811,1.3516666666666666
1,2e4a842c-d384-4117-a615-f287011888e9,e9c6a9ea-9062-4112-95a1-93d3fbcdf39d,600,1754067385362,1754067386170,808,1.3466666666666667
1,2e4a842c-d384-4117-a615-f287011888e9,eeaea3a7-10cf-4082-959e-f525eea58c17,2000,1754067360866,1754067363506,2640,1.32
1,2e4a842c-d384-4117-a615-f287011888e9,f219c781-55f8-47b5-ba5d-e22c0e913a83,600,1754067349098,1754067349867,769,1.2816666666666667
1,2e4a842c-d384-4117-a615-f287011888e9,f78ba9e5-fba1-4746-b084-d9bdb34c140e,2000,1754067393690,1754067396530,2840,1.42
1,2e4a842c-d384-4117-a615-f287011888e9,f86b1db7-a240-4acf-862a-ce50c85c4500,2000,1754067338714,1754067341452,2738,1.369
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,039f5308-8190-4a5b-97e6-2321c579cabe,600,1754065463357,1754065464375,1018,1.6966666666666668
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,079e1b6c-1abf-40f7-9054-2b304e8acbb6,600,1754065554278,1754065555219,941,1.5683333333333334
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,08f388ce-87ed-4870-ad20-e58b0d8ba3f9,2000,1754065550056,1754065553248,3192,1.596
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,0cfdb8b4-c93f-49ba-880a-31c17260da3c,56,1754065454623,1754065454772,149,2.6607142857142856
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,12c52ae8-b2af-4db3-b7f5-1bde199fc013,2000,1754065493905,1754065496987,3082,1.541
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,2b9e9a15-f679-4220-9da4-d01c6ca293dc,2000,1754065526416,1754065529646,3230,1.615
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,44f269c9-16f5-4646-842b-318a2bd0dc2d,2000,1754065488306,1754065491482,3176,1.588
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,472653fe-ecb4-4fc3-bf05-a66ae965442a,2000,1754065478600,1754065481578,2978,1.489
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,48c982dd-0645-49ed-82cc-942d030a350e,2000,1754065503549,1754065506639,3090,1.545
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,4f107ae4-b71a-47a4-bd23-879ffacae823,600,1754065482061,1754065483000,939,1.565
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,65302809-f94f-46e4-8d7d-290965eb18ce,2000,1754065556229,1754065559458,3229,1.6145
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,6928c6f8-f72e-48bc-a031-7796dd237df0,2000,1754065540086,1754065543319,3233,1.6165
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,7154a7f4-d140-44a1-b3e9-823f069c9d31,600,1754065501327,1754065502274,947,1.5783333333333334
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,74be2b16-4de2-48c6-9b47-ae390bf54414,600,1754065473139,1754065474064,925,1.5416666666666667
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,7e5d018d-5105-4b25-bd83-044c9fecc825,600,1754065544247,1754065545178,931,1.5516666666666667
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,85ca7191-ab07-4e62-993a-d6587eb52277,2000,1754065507249,1754065510406,3157,1.5785
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,86260163-e97a-47b5-89bd-5002efbeee5f,2000,1754065513032,1754065516148,3116,1.558
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,878aa46c-599d-4ff1-b705-03f8930be6e9,600,1754065530215,1754065531244,1029,1.715
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,9070dc4a-9e33-42ec-b335-369e028b5316,2000,1754065468984,1754065472203,3219,1.6095
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,90c9d0a7-80f2-4476-932f-4e0af4aa89e5,600,1754065492120,1754065493063,943,1.5716666666666668
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,9de9d0e6-a0f1-4e5a-8783-2c3c1a504a8d,1944,1754065560130,1754065563234,3104,1.5967078189300412
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,a782a551-28b2-429a-b53b-12767080fd6d,2000,1754065497691,1754065500791,3100,1.55
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,abd31013-f648-4d9f-a055-cbe47c6345f1,600,1754065510931,1754065511932,1001,1.6683333333333332
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,b99b1313-8599-45d5-9a3d-049731f42ee8,2000,1754065474786,1754065477947,3161,1.5805
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,bd49f9e9-571a-43e8-9542-1138413e70a4,2000,1754065465142,1754065468374,3232,1.616
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,c43181aa-1e05-4522-980f-9a15d3f25017,2000,1754065516840,1754065519952,3112,1.556
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,dbd862dd-5356-4186-82ca-22b1bcd6f463,2000,1754065522656,1754065525821,3165,1.5825
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,e44a0c71-0159-405a-a704-a8b870e4a4e8,2000,1754065459461,1754065462820,3359,1.6795
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,e98d56cd-ab89-48a6-b5b7-4ba61275a8aa,2000,1754065545780,1754065548993,3213,1.6065
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,e9eb0557-5fa8-465f-a579-ab9c21ee5ef4,2000,1754065455397,1754065458759,3362,1.681
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,ea23d948-5930-4ade-91a0-100cdfcbdab0,2000,1754065536124,1754065539320,3196,1.598
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,f0cfc080-51f0-4595-ac59-7319eebaf310,2000,1754065484288,1754065487342,3054,1.527
1,3c961de6-3baa-436e-8b8e-ddd326a00d45,f64c3bac-2ff9-40b4-aec6-4fe252d3217a,600,1754065520585,1754065521569,984,1.64
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,03908600-f2bf-4c39-9c01-c5dc55b013a1,600,1754128463183,1754128464132,949,1.5816666666666668
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,049c8b95-d095-4524-9be0-fd176c8b1968,2000,1754128523018,1754128526039,3021,1.5105
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,05c14bee-c969-46aa-b98e-42ab2aaa7acd,600,1754128473332,1754128474301,969,1.615
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,0961a10d-118e-4b3d-9134-c66cb5fc2a93,600,1754128492063,1754128493001,938,1.5633333333333332
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,13574e72-b6de-4207-b63f-5fcd336e1524,2000,1754128484752,1754128487804,3052,1.526
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,2a5b8ba3-7a26-40d2-8a48-e78d6e597102,2000,1754128513476,1754128516638,3162,1.581
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,2e86a758-ee49-4b48-8b14-e25c4773adae,600,1754128432551,1754128433536,985,1.6416666666666666
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,2e905300-8662-42ce-a5af-a26ae842459a,2000,1754128478820,1754128481887,3067,1.5335
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,49df8c87-18e8-46b4-a4c5-5fb3949a389a,2000,1754128517242,1754128520289,3047,1.5235
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,4c0755f7-ea56-43d1-bb44-9c0bd6a57cdc,600,1754128520769,1754128521741,972,1.62
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,4dcb7afb-52a5-4823-97df-ac4ded0e04d3,47,1754128423616,1754128423725,109,2.3191489361702127
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,4de4d68b-6901-4d2f-9042-7439a202e0a0,600,1754128482651,1754128483619,968,1.6133333333333333
1,651f8142-52b3-44f9-b3a8-83a60a7f34de,518336f0-a3a2-41a8-8532-9a681afc6ba8,600,1754128452901,1754128453844,943,1.5716666666666668
